"role_definition","role_table"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_c","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_c"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_d","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_d"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_39_retrospective_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_INS_retrospective_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_39_retrospective_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_JTINS_retrospective_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_39_open_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_NPF_AO_open_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420901_open_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910_retrospective"
