"rinok";"role_definition";"role_table"
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r2
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r3
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r4;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r4
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r5;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420751_r5
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r2
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r2_2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r2
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r2_3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r2
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r3
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r4;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420753_r4
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r2
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r3
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r4;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r4
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r5;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420754_r5
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r2
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r3
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_4;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r4_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r5;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r5
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r6;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r6
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r7;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420755_r7
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r1/2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r1/3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r2
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r3;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r3
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r4;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r4
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r5;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420756_r5
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420757;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420757
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420757/1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420757/1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420758;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420758
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420759;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420759
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_bki_zayavl;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_bki_zayavl
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_kbki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_kbki
