"rinok";"role_definition";"role_table"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_1_zapr";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_zapr"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1_1";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1_2";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1_3";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1_4";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r1"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r2";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r2"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r3";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r3"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r3_1";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r3"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r4";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r4"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r4_1";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r4_1"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_m";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_m"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_m_1";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_m"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_q";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_q"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_q_1";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_q"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_zapr";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_0409725_r5_zapr"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_INFO/SR_INFO";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_INFO/SR_INFO"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_INFO/SR_SOPR";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-03-25/tab/SR_INFO/SR_SOPR"
