"rinok","role_definition","role_table"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_clients/sr_clients","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_clients/sr_clients"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR23/sr_RR23_exclients","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR23/sr_RR23_exclients"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR30/sr_RR30_exassets","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR30/sr_RR30_exassets"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR40_exassets/sr_RR40_exassets","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR40_exassets/sr_RR40_exassets"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR50/sr_RR50","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR50/sr_RR50"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR61_exassets/sr_RR61_exassets","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR61_exassets/sr_RR61_exassets"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR62_exassets/sr_RR62_exassets","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR62_exassets/sr_RR62_exassets"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR64/sr_RR64","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR64/sr_RR64"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR71/sr_RR71","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR71/sr_RR71"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR72/sr_RR72_exassets","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR72/sr_RR72_exassets"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_sved_purcb/sr_sved_purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_sved_purcb/sr_sved_purcb"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63/sr_RR631","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63/sr_RR631"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63/sr_RR632","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63/sr_RR631"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63/sr_RR633","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-02-25/tab/sr_RR63/sr_RR631"
