rinok;role_definition;role_table
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R1;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R1
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R2
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_3;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_4;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_6;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_7;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_8;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_RasxSvayzSDUPoVidamRasx;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_RasxSvayzSDUPoVidamRasx
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_2
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_2
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_4;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_4
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_5;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_5
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R1;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R1
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R2
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3/1;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3_RasxSvayzSDUPoVidamRasx;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3_RasxSvayzSDUPoVidamRasx
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_soprovod;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_soprovod
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R1;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R1
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R2
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_3;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_4;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_6;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_7;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_8;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_5
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_RasxSvayzSDUPoVidamRasx;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R3_RasxSvayzSDUPoVidamRasx
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_2
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_4
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_2
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_4;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_4
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_5;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420503_0420876_R4_5
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R1;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R1
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R2;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R2
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3/1;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3_RasxSvayzSDUPoVidamRasx;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_0420505_0420877_R3_RasxSvayzSDUPoVidamRasx
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_soprovod;http://www.cbr.ru/xbrl/nso/nfo/rep/2026-02-27/tab/sr_soprovod
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_1;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_2;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_3;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_3
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_4;http://www.cbr.ru/xbrl/nso/srki/rep/2026-02-27/tab/sr_soprovod_inf_4
