"rinok";"role_definition";"role_table"
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/EPS_chasti_OVS_9;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/EPS_chasti_OVS_9
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/EPS_chasti_SO_9;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/EPS_chasti_SO_9
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/EPS_chasti_SO_9;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/EPS_chasti_SO_9_q
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/OFR_chasti_OVS_9;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/OFR_chasti_OVS_9
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/OFR_chasti_SO_9;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/OFR_chasti_SO_9
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R1_DopVidy;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R1_DopVidy
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R2
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R3;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R3
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R4;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R4
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R5;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R5
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R6;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R6
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R7/1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420150_R7
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420151_1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420151
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420151_2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420151_2
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_MeneeOdinProts/1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_MeneeOdinProts
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_MeneeOdinProts/2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_MeneeOdinProts
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_ObInfo;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_ObInfo
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_R1/1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_R1Spr;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_R1Spr
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_R2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420152/sr_0420152_R2
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R2
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R3;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R3
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R4;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R4
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R5;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R5
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R5_1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420153_R5_1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/3;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/4;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/5;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/6;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/7;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/8;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1/9;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R10/1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R10
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1/1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1/2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1/3;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1/4;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P1
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P2/1;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P2
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P2/2;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P2
ins;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P2/3;http://www.cbr.ru/xbrl/nso/ins/rep/2024-12-30/tab/sr_0420154/sr_0420154_R11_P2
