"rinok";"role_definition";"role_table"
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2_3;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3_itog;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3_itog;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3_itog
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r4;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r4
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r1;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r1
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r2
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3_2
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r4;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r4
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r4_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r4
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r4_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r4_2
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r5;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r5
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r6;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r6
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_3;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_3
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4_pz;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4_pz;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4_pz
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_5;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_5
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_6;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_6
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_soprovod;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_soprovod
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/EPS_chasti;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/EPS_chasti
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/OFR_chasti;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/OFR_chasti
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_2;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_3;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_4;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_5;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_6;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_7;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_2_1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_2_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_2_2;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_2_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_2_3;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_2_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_3_1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_3_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_3_2;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_3_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_3_3;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_3_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_4_1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_4_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_4_2;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_4_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_4_3;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420312_4_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420314_1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420314
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420314_2;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420314
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420315;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420315
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420315_1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420315
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420317;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420317
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420318;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420318
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420319;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420319
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420322;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420322
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420323;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420323
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420323/1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420323
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420324_R1_P1_1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420324_R1_P1_1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420324_R1_P1_2;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420324_R1_P1_2
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420324_R2;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420324_R2
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420325;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420325
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420327;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420327
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R1;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R1
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R10;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R10
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R11;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R11
purcb;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R12;http://www.cbr.ru/xbrl/nso/purcb/rep/2024-12-30/tab/SR_0420401/SR_0420401_R12
