"rinok";"role_definition";"role_table"
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4_pz;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4_pz;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_4_pz
srki;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_soprovod;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_soprovod
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/dogovory_1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/dogovory_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/kontragenty_1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/kontragenty_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/obekty_ucheta_r2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/obekty_ucheta_r2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/obekty_ucheta_r4;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/obekty_ucheta_r4
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420860_r1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420860_r1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420860_r10;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420860_r10
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420860_r11;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420860_r11
