v_id;role
DTL$RNCO_NSO_PURCB_0420002_FCT;FR_BS_PURCB,FR_BS_PURCB_open
DTL$RNCO_NSO_PURCB_0420003_FCT;FR_PL_PURCB,FR_PL_PURCB_open
DTL$RNCO_NSO_PURCB_0420004_FCT;FR_SOCIE_PURCB,FR_SOCIE_PURCB_open
DTL$RNCO_NSO_PURCB_0420005_FCT;FR_CF_PURCB,FR_CF_PURCB_open
DTL$RNCO_NSO_PURCB_0420312_1_T5_FCT;SR_0420312_1_1,SR_0420312_1_2,SR_0420312_1_3,SR_0420312_1_4,SR_0420312_1_5,SR_0420312_1_6,SR_0420312_1_7
DTL$RNCO_NSO_PURCB_0420312_2_T5_FCT;SR_0420312_2_1,SR_0420312_2_2,SR_0420312_2_3
DTL$RNCO_NSO_PURCB_0420312_3_T5_FCT;SR_0420312_3_1,SR_0420312_3_2,SR_0420312_3_3
DTL$RNCO_NSO_PURCB_0420312_4_T5_FCT;SR_0420312_4_1,SR_0420312_4_2,SR_0420312_4_3
DTL$RNCO_NSO_PURCB_0420312_FCT;SR_0420312_1_1,SR_0420312_1_2,SR_0420312_1_3,SR_0420312_1_4,SR_0420312_1_5,SR_0420312_1_6,SR_0420312_1_7,SR_0420312_2_1,SR_0420312_2_2,SR_0420312_2_3,SR_0420312_3_1,SR_0420312_3_2,SR_0420312_3_3,SR_0420312_4_1,SR_0420312_4_2,SR_0420312_4_3
DTL$RNCO_NSO_PURCB_0420313_FCT;SR_0420313_1,SR_0420313_2,SR_0420313_4
DTL$RNCO_NSO_PURCB_0420314_FCT;SR_0420314_1,SR_0420314_2
DTL$RNCO_NSO_PURCB_0420315_FCT;SR_0420315,SR_0420315_1
DTL$RNCO_NSO_PURCB_0420317_FCT;SR_0420317
DTL$RNCO_NSO_PURCB_0420318_FCT;SR_0420318
DTL$RNCO_NSO_PURCB_0420319_FCT;SR_0420319
DTL$RNCO_NSO_PURCB_0420320_FCT;SR_0420320
DTL$RNCO_NSO_PURCB_0420321_FCT;SR_0420321_1,SR_0420321_2
DTL$RNCO_NSO_PURCB_0420322_FCT;SR_0420322
DTL$RNCO_NSO_PURCB_0420323_FCT;SR_0420323,SR_0420323_1
DTL$RNCO_NSO_PURCB_0420324_1_1_1_FCT;SR_0420324_R1_P1_1
DTL$RNCO_NSO_PURCB_0420324_1_1_2_FCT;SR_0420324_R1_P1_2
DTL$RNCO_NSO_PURCB_0420324_2_FCT;SR_0420324_R2
DTL$RNCO_NSO_PURCB_0420325_FCT;SR_0420325
DTL$RNCO_NSO_PURCB_0420326_1_FCT;SR_0420326
DTL$RNCO_NSO_PURCB_0420326_2_FCT;SR_0420326_r2
DTL$RNCO_NSO_PURCB_0420327_FCT;SR_0420327
DTL$RNCO_NSO_PURCB_0420401_10_FCT;SR_0420401_R10
DTL$RNCO_NSO_PURCB_0420401_11_FCT;SR_0420401_R11
DTL$RNCO_NSO_PURCB_0420401_12_FCT;SR_0420401_R12
DTL$RNCO_NSO_PURCB_0420401_13_FCT;SR_0420401_R13
DTL$RNCO_NSO_PURCB_0420401_13_TB4_FCT;SR_0420401_R2
DTL$RNCO_NSO_PURCB_0420401_14_FCT;SR_0420401_R14
DTL$RNCO_NSO_PURCB_0420401_15_FCT;SR_0420401_R15
DTL$RNCO_NSO_PURCB_0420401_16_FCT;SR_0420401_R16
DTL$RNCO_NSO_PURCB_0420401_17_FCT;SR_0420401_R17
DTL$RNCO_NSO_PURCB_0420401_18_FCT;SR_0420401_R18
DTL$RNCO_NSO_PURCB_0420401_18_TB4_FCT;SR_0420401_R7
DTL$RNCO_NSO_PURCB_0420401_19_TB4_FCT;SR_0420401_R8
DTL$RNCO_NSO_PURCB_0420401_1_FCT;SR_0420401_R1
DTL$RNCO_NSO_PURCB_0420401_2_FCT;SR_0420401_R2
DTL$RNCO_NSO_PURCB_0420401_3_FCT;SR_0420401_R3
DTL$RNCO_NSO_PURCB_0420401_4_FCT;SR_0420401_R4,SR_0420401_R4_2,SR_0420401_R4_3
DTL$RNCO_NSO_PURCB_0420401_5_FCT;SR_0420401_R5,SR_0420401_R5_2,SR_0420401_R5_3
DTL$RNCO_NSO_PURCB_0420401_6_FCT;SR_0420401_R6,SR_0420401_R6_2,SR_0420401_R6_3
DTL$RNCO_NSO_PURCB_0420401_7_FCT;SR_0420401_R7,SR_0420401_R7_2,SR_0420401_R7_3
DTL$RNCO_NSO_PURCB_0420401_8_FCT;SR_0420401_R8
DTL$RNCO_NSO_PURCB_0420401_9_FCT;SR_0420401_R9
DTL$RNCO_NSO_PURCB_0420401_9_TB4_FCT;SR_0420401_7
DTL$RNCO_NSO_PURCB_0420402_1_1_1_FCT;SR_0420402_FL
DTL$RNCO_NSO_PURCB_0420402_1_1_1_T5_FCT;SR_0420402_FL
DTL$RNCO_NSO_PURCB_0420402_1_1_2_FCT;SR_0420402_UL_1_2
DTL$RNCO_NSO_PURCB_0420402_1_1_2_T5_FCT;SR_0420402_UL
DTL$RNCO_NSO_PURCB_0420402_2_FCT;SR_0420402_R2_1
DTL$RNCO_NSO_PURCB_0420402_2_T5_FCT;SR_0420402_R2
DTL$RNCO_NSO_PURCB_0420402_3_3_1_FCT;SR_0420402_R3_P1_1
DTL$RNCO_NSO_PURCB_0420402_3_3_1_T5_FCT;SR_0420402_R3_P1
DTL$RNCO_NSO_PURCB_0420402_3_3_2_FCT;SR_0420402_R3_P2_1
DTL$RNCO_NSO_PURCB_0420402_3_3_2_T5_FCT;SR_0420402_R3_P2
DTL$RNCO_NSO_PURCB_0420404_1_FCT;SR_0420404_r1_1_1,SR_0420404_r1_1_2,SR_0420404_r1_2_1,SR_0420404_r1_3_1,SR_0420404_r1_4_1,SR_0420404_r1_5_1
DTL$RNCO_NSO_PURCB_0420404_2_FCT;SR_0420404_r2_1_1_2,SR_0420404_r2_2_1_2,SR_0420404_r2_3_1_2
DTL$RNCO_NSO_PURCB_0420404_FCT;SR_0420404_1,SR_0420404_2,SR_0420404_3
DTL$RNCO_NSO_PURCB_0420406_FCT;sr_nfo_6
DTL$RNCO_NSO_PURCB_0420407_FCT;SR_0420407
DTL$RNCO_NSO_PURCB_0420408_FCT;SR_0420408
DTL$RNCO_NSO_PURCB_0420409_1_FCT;SR_0420409_m,SR_0420409_q
DTL$RNCO_NSO_PURCB_0420409_2_FCT;SR_0420409_m_2,SR_0420409_q_2
DTL$RNCO_NSO_PURCB_0420410_0_FCT;SR_0420410_m_oboroty_credit,SR_0420410_m_oboroty_credit_2,SR_0420410_m_oboroty_debet,SR_0420410_m_oboroty_debet_2,SR_0420410_m_ostatki,SR_0420410_m_ostatki_2,SR_0420410_q_oboroty_credit,SR_0420410_q_oboroty_credit_2,SR_0420410_q_oboroty_debet,SR_0420410_q_oboroty_debet_2,SR_0420410_q_ostatki,SR_0420410_q_ostatki_2
DTL$RNCO_NSO_PURCB_0420410_DOP_FCT;SR_0420410_m_dop_inf,SR_0420410_m_dop_inf_2,SR_0420410_q_dop_inf,SR_0420410_q_dop_inf_2
