rinok;role_definition;role_table
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_a;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_a
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_b;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_b
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_e;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_e
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_f;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/0_FR_ORGINFO_f
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420002;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420002
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420002_Rasshifr;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420002_Rasshifr
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810_retrospective
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810_Rasshifr;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810_Rasshifr
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810_Rasshifr;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420810_retrospective_Rasshifr
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842_retrospective
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842_Rasshifr;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842_Rasshifr
bfo;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842_Rasshifr;http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_0420842_retrospective_Rasshifr
